uhf_code,borough,neighborhood,zip_code
409,Queens,Southeast Queens,11411
210,Brooklyn,Coney Island - Sheepshead Bay,11224
304,Manhattan,Upper West Side,10023
501,Staten Island,Port Richmond,10302
103,Bronx,Fordham - Bronx Park,10467
305,Manhattan,Upper East Side,10028
404,Queens,Bayside - Little Neck,11362
202,Brooklyn,Downtown - Heights - Park Slope,11217
203,Brooklyn,Bedford Stuyvesant - Crown Heights,11213
402,Queens,West Queens,11377
405,Queens,Ridgewood - Forest Hills,11379
107,Bronx,Hunts Point - Mott Haven,10455
103,Bronx,Fordham - Bronx Park,10458
402,Queens,West Queens,11373
102,Bronx,Northeast Bronx,10466
410,Queens,Rockaway,11694
202,Brooklyn,Downtown - Heights - Park Slope,11231
406,Queens,Fresh Meadows,11365
403,Queens,Flushing - Clearview,11360
206,Brooklyn,Borough Park,11218
410,Queens,Rockaway,11691
209,Brooklyn,Bensonhurst - Bay Ridge,11214
409,Queens,Southeast Queens,11422
501,Staten Island,Port Richmond,10303
408,Queens,Jamaica,11435
306,Manhattan,Chelsea - Clinton,10018
106,Bronx,High Bridge - Morrisania,10452
410,Queens,Rockaway,11692
408,Queens,Jamaica,11436
402,Queens,West Queens,11369
410,Queens,Rockaway,11697
403,Queens,Flushing - Clearview,11354
107,Bronx,Hunts Point - Mott Haven,10459
211,Brooklyn,Williamsburg - Bushwick,11221
106,Bronx,High Bridge - Morrisania,10451
306,Manhattan,Chelsea - Clinton,10019
310,Manhattan,Lower Manhattan,10005
407,Queens,Southwest Queens,11419
305,Manhattan,Upper East Side,10128
204,Brooklyn,East New York,11207
402,Queens,West Queens,11378
408,Queens,Jamaica,11434
409,Queens,Southeast Queens,11427
202,Brooklyn,Downtown - Heights - Park Slope,11205
407,Queens,Southwest Queens,11421
408,Queens,Jamaica,11432
401,Queens,Long Island City - Astoria,11101
306,Manhattan,Chelsea - Clinton,10020
408,Queens,Jamaica,11412
404,Queens,Bayside - Little Neck,11363
104,Bronx,Pelham - Throgs Neck,10465
405,Queens,Ridgewood - Forest Hills,11385
107,Bronx,Hunts Point - Mott Haven,10474
303,Manhattan,East Harlem,10029
408,Queens,Jamaica,11423
203,Brooklyn,Bedford Stuyvesant - Crown Heights,11238
405,Queens,Ridgewood - Forest Hills,11374
403,Queens,Flushing - Clearview,11356
105,Bronx,Crotona - Tremont,10460
407,Queens,Southwest Queens,11414
207,Brooklyn,East Flatbush - Flatbush,11226
409,Queens,Southeast Queens,11413
206,Brooklyn,Borough Park,11219
208,Brooklyn,Canarsie - Flatlands,11239
407,Queens,Southwest Queens,11418
403,Queens,Flushing - Clearview,11358
504,Staten Island,South Beach - Tottenville,10306
306,Manhattan,Chelsea - Clinton,10001
206,Brooklyn,Borough Park,11230
207,Brooklyn,East Flatbush - Flatbush,11210
306,Manhattan,Chelsea - Clinton,10011
403,Queens,Flushing - Clearview,11355
404,Queens,Bayside - Little Neck,11361
209,Brooklyn,Bensonhurst - Bay Ridge,11228
301,Manhattan,Washington Heights - Inwood,10034
310,Manhattan,Lower Manhattan,10004
210,Brooklyn,Coney Island - Sheepshead Bay,11223
203,Brooklyn,Bedford Stuyvesant - Crown Heights,11216
211,Brooklyn,Williamsburg - Bushwick,11237
105,Bronx,Crotona - Tremont,10457
405,Queens,Ridgewood - Forest Hills,11375
306,Manhattan,Chelsea - Clinton,10036
308,Manhattan,Greenwich Village - SoHo,10012
308,Manhattan,Greenwich Village - SoHo,10014
210,Brooklyn,Coney Island - Sheepshead Bay,11229
302,Manhattan,Central Harlem - Morningside Heights,10026
409,Queens,Southeast Queens,11429
307,Manhattan,Gramercy Park - Murray Hill,10016
307,Manhattan,Gramercy Park - Murray Hill,10017
409,Queens,Southeast Queens,11426
